dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2082390742877325952,303.2464,45.5933,2.938,0.896,0.67305,5.2277,-3.7017,-8072.71,334.75,57.71,0.403,2.84,RSG-5,,,,0
2081816694727326976,301.7367,43.8901,2.9734,0.941,0.31383,4.5054,-3.7787,-8061.64,328.85,57.17,0.428,2.879,RSG-5,,,,0
2081092838118111616,303.374,43.7318,2.8134,0.971,0.2293,4.4936,-3.3999,-8061.19,348.77,52.58,0.536,3.31,RSG-5,,,,0
2081734403155443712,304.1279,45.851,2.9312,0.889,0.4948,4.6556,-3.9251,-8075.83,336.22,55.59,0.538,3.258,RSG-5,,,,0
2081223748723105536,302.9288,44.8866,2.9956,0.863,0.51679,4.992,-3.4208,-8069.53,327.81,55.85,0.545,3.281,RSG-5,,,,0
2081742408974210304,303.6555,45.8293,2.9526,1.032,0.65676,5.4863,-3.5557,-8075.02,333.47,56.88,0.585,3.609,RSG-5,1.403,1.403,,0
2081757351152470400,304.3144,45.9876,2.9147,0.745,0.54547,5.3942,-3.273,-8076.67,338.29,55.6,0.589,3.666,RSG-5,1.104,1.104,,0
2081602358680967936,303.1349,45.0462,3.0369,1.02,0.42575,5.0173,-3.0867,-8071.45,323.56,55.18,0.639,2.661,RSG-5,0.899,0.899,,0
2081117229227768448,303.1082,43.9959,2.9568,0.823,0.34431,4.7801,-3.4112,-8064.84,331.8,52.83,0.688,4.061,RSG-5,1.945,1.945,,0
2081658468132007424,304.5428,45.3046,2.9403,0.865,0.59758,5.3404,-3.3523,-8074.21,335.26,52.26,0.697,4.136,RSG-5,1.851,1.851,,0
2081720586236401536,303.9667,45.5566,3.0218,0.969,0.54212,5.3302,-3.6822,-8075.45,325.94,54.15,0.843,4.213,RSG-5,3.612,3.612,,0
2081741549980771200,303.7143,45.8064,3.0187,0.885,0.55312,5.0142,-3.5854,-8076.06,326.2,55.82,0.862,4.923,RSG-5,2.52,2.52,,0
2081639020520996480,303.4645,45.5437,3.0102,1.069,0.52662,5.2842,-3.4365,-8074.12,326.86,55.93,0.882,5.056,RSG-5,2.323,2.323,,0
2082011067768210816,302.1937,44.924,2.8483,1.011,0.27969,4.6303,-3.0031,-8065.35,344.22,60.46,0.895,5.185,RSG-5,4.053,4.053,,0
2082051814111804672,302.2629,45.4678,3.0145,0.987,0.38788,4.9801,-3.1049,-8071.27,325.52,59.71,0.904,5.3,RSG-5,5.462,5.462,,0
2082006360484117120,301.804,44.8294,2.9472,0.959,0.35491,4.56,-3.8649,-8065.95,332.32,60.2,0.918,5.166,RSG-5,4.538,4.538,,0
2081744985954741888,303.943,45.8158,2.9684,0.987,0.6331,5.296,-3.3573,-8075.83,331.88,55.67,0.938,5.353,RSG-5,4.114,4.114,,0
2081724335751819520,303.8246,45.5802,2.9862,0.984,0.63437,5.4024,-3.4749,-8074.7,329.74,55.1,0.947,5.405,RSG-5,3.045,2.952,3.139,0
2082383832265129472,302.704,45.5685,2.999,1.151,0.49769,4.9593,-3.6325,-8072.44,327.56,58.72,1.02,5.61,RSG-5,2.644,2.645,2.643,0
2081843048647104512,301.9034,44.1153,2.9425,0.979,0.31698,4.5224,-3.5394,-8062.5,332.57,57.67,1.085,5.905,RSG-5,3.625,3.622,3.628,0
2081139910960099584,303.4178,44.1643,2.8079,0.969,0.25398,4.4692,-3.3473,-8063.41,349.72,53.95,1.132,5.937,RSG-5,2.328,2.327,2.328,0
2081749074763705088,303.9617,46.0131,2.876,0.967,0.46279,5.2781,-3.1398,-8075.39,342.62,57.38,1.173,6.075,RSG-5,5.005,5.006,5.003,0
2081755809272821248,304.2855,45.934,2.9378,1.005,0.48404,5.9525,-3.5051,-8076.7,335.6,55.24,1.191,6.229,RSG-5,6.614,13.354,6.614,0
2082142734285082368,300.431,44.751,2.9127,0.979,0.24427,4.6797,-3.2052,-8061.96,335.09,65.35,1.2,6.083,RSG-5,5.095,5.095,,0
2082038005803867136,302.3552,45.1744,2.958,0.983,0.49926,5.0351,-3.5058,-8069.04,331.69,59.21,1.322,6.413,RSG-5,3.677,3.681,3.674,0
2074995874350166784,301.6106,42.853,2.9309,1.009,0.24488,4.2701,-3.3723,-8055.3,332.88,54.88,1.379,6.648,RSG-5,6.643,6.613,6.674,0
2082464032200684544,302.7357,45.99,3.0015,1.069,0.51901,5.2925,-3.4088,-8074.61,327.45,59.9,1.411,6.699,RSG-5,4.142,4.137,4.147,0
2081220175310395776,303.2135,44.8071,3.0103,0.96,0.45932,5.2934,-3.7946,-8070.01,326.37,54.46,1.449,6.758,RSG-5,7.733,7.82,7.645,0
2081641941098822272,303.68,45.5428,2.916,1.407,0.63142,5.4742,-3.5931,-8073.05,337.56,56.31,1.646,7.13,RSG-5,4.163,4.154,4.173,0
2081526423656287616,303.6193,44.4887,2.8284,1.008,0.27892,4.7343,-3.4076,-8065.97,347.5,54.07,1.693,7.277,RSG-5,5.173,5.174,5.171,0
2082376861542398336,302.7621,45.5009,3.0256,0.932,0.50805,5.0938,-3.4272,-8072.67,324.69,57.98,1.757,7.4,RSG-5,15.415,,15.415,0
2081663931330497664,304.5508,45.4444,3.0348,1.033,0.4231,5.3447,-3.5196,-8076.38,324.88,51.7,1.794,7.503,RSG-5,3.971,3.971,3.972,0
2082070063440033536,302.0537,45.7335,3.0374,1.038,0.39096,5.2899,-3.3072,-8072.52,323.0,60.94,1.878,7.672,RSG-5,4.694,4.693,4.694,0
2081203820074750592,303.3386,44.6661,2.9493,0.989,0.4832,4.6974,-3.3451,-8068.52,333.14,54.26,1.909,7.727,RSG-5,2.624,2.621,2.627,0
2081354624964957440,304.2604,44.5602,2.9463,0.967,0.43548,4.6658,-3.3567,-8070.02,334.07,50.72,1.942,7.801,RSG-5,9.183,9.153,9.213,1
2075857719664749952,301.1787,43.8435,3.0046,1.096,0.26384,4.5613,-3.1766,-8060.86,324.97,58.62,1.947,7.268,RSG-5,4.729,4.736,4.722,0
2081724644989515904,303.8945,45.6158,2.9971,1.091,0.53804,5.7352,-3.2962,-8075.2,328.6,54.86,1.982,7.906,RSG-5,5.655,5.665,5.645,0
2082408163264910464,303.0409,45.7818,2.8837,1.32,0.51328,5.1191,-3.4638,-8072.29,340.98,59.74,1.989,7.547,RSG-5,,,,0
2081225913386673280,302.997,44.9729,2.982,1.051,0.52713,4.7644,-3.147,-8069.86,329.39,56.05,2.031,7.94,RSG-5,5.008,5.003,5.013,0
2080989346587207936,303.2649,43.2986,2.812,1.022,0.21954,4.1801,-3.1839,-8058.66,348.59,51.53,2.062,8.05,RSG-5,5.582,5.604,5.559,0
2081630052629208704,303.8207,45.5039,2.9646,1.057,0.7398,5.3647,-3.6246,-8073.97,332.12,55.12,2.109,7.489,RSG-5,6.979,6.973,6.985,0
2081737529891330560,303.6981,45.6721,2.9829,0.995,0.57862,4.8021,-3.3837,-8074.82,330.05,55.87,2.134,7.471,RSG-5,6.638,3.065,6.638,0
2082442385564859392,302.2888,45.7385,3.021,0.948,0.39611,4.9671,-3.139,-8072.76,324.93,60.37,2.3,8.557,RSG-5,6.677,,6.677,0
2081055660883362944,302.4796,43.5852,2.8934,1.049,0.29346,4.519,-3.6647,-8060.09,338.36,54.48,2.313,8.501,RSG-5,6.423,,6.423,0
2082643767988675584,302.0874,46.123,2.9198,1.022,0.43459,5.4392,-3.3946,-8072.56,336.18,63.67,2.318,8.52,RSG-5,,,1.397,0
2082397099429013120,303.3726,45.6634,2.9802,1.041,0.59663,5.3252,-3.6485,-8074.03,330.13,56.98,2.32,8.002,RSG-5,12.753,,12.753,0
2081470760880795648,304.8857,45.2725,2.9837,1.012,0.44215,5.0753,-3.8368,-8075.52,330.59,50.53,2.378,8.85,RSG-5,,,,0
2082374456360602880,302.6842,45.3642,3.0458,1.051,0.46186,5.3724,-3.5957,-8072.17,322.43,57.58,2.4,8.82,RSG-5,3.259,,3.259,0
2082428160633113728,302.319,45.6,2.8892,0.983,0.41189,5.3402,-3.261,-8069.87,339.73,61.63,2.411,8.737,RSG-5,4.579,,4.579,0
