dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2101781077103808640,2101781077103808640,5956051,290.4111,41.2904,0.11062,-1.9497,-3.7893,-8019.41,340.35,98.02,0.094,-0.015
2102959066373158144,2102959066373158144,7743830,288.3337,43.4417,0.12834,-0.9555,-3.028,-8039.29,299.73,101.51,0.011,-0.007
2102138929478224384,2102138929478224384,5694127,288.0413,40.9846,0.12944,-2.624,-5.4248,-8022.34,309.8,100.41,0.035,-0.007
2103497792709244544,2103497792709244544,4725292,283.7055,39.8705,0.34474,-2.0141,-2.7305,-8003.75,320.78,121.04,0.025,-0.004
2102986107487506944,2102986107487506944,7812051,287.9723,43.5108,0.02332,-6.007,-4.244,-8025.41,348.99,116.6,0.071,-0.01
2103021875975277184,2103021875975277184,8018827,287.9855,43.8905,0.03418,1.8828,-2.0451,-8052.64,256.91,91.91,0.094,0.012
2103024246797101056,2103024246797101056,7949545,287.7505,43.7372,0.12862,0.6557,-3.2931,-8038.28,305.56,106.02,0.09,-0.03
2103877364740680704,2103877364740680704,6187639,285.3933,41.5154,0.30849,-1.1661,-3.0205,-8023.65,300.07,110.06,0.097,-0.011
2103033592646146560,2103033592646146560,8087381,287.85,43.9786,0.10396,0.34,-1.2553,-8040.84,301.53,104.98,0.026,-0.012
2101855569017361280,2101855569017361280,6359802,290.3544,41.7691,0.04167,-4.7446,-0.8808,-8025.18,329.99,97.05,0.106,-0.006
2103616952281732608,2103616952281732608,5428125,284.1577,40.6089,0.42219,-1.8094,-2.7021,-8012.38,311.48,117.36,0.065,-0.005
2103624133467152896,2103624133467152896,5341666,283.9331,40.5912,0.28848,-1.3079,-3.8525,-8007.24,324.56,122.46,0.155,-0.017
2103649044277731584,2103649044277731584,5686435,284.6226,40.9754,0.41225,-1.4021,-2.4069,-8017.29,305.9,114.2,0.008,-0.014
2103105056600512256,2103105056600512256,8423087,288.8419,44.4227,0.0688,1.0599,-1.577,-8046.99,293.25,99.72,0.115,-0.009
2102692709683542400,2102692709683542400,6940035,289.0868,42.4717,0.06727,1.4716,-6.1499,-8024.24,338.58,106.38,0.028,-0.015
2103978859108631040,2103978859108631040,6426507,285.5541,41.8567,0.26582,-0.2366,-1.9568,-8021.2,314.5,114.28,0.075,-0.003
2103683300936702464,2103683300936702464,5685047,283.8968,40.9159,0.22757,-3.1297,-4.2567,-8014.47,309.34,118.42,0.054,-0.005
2103714637018491136,2103714637018491136,5940165,283.8994,41.2216,0.043,-1.6479,-4.0294,-7999.58,358.15,134.43,0.036,-0.014
2103719309943016448,2103719309943016448,6023332,284.2312,41.3355,0.53771,-1.3801,-2.71,-8017.69,308.79,117.48,0.127,0.009
2102732292101973504,2102732292101973504,7354213,289.1063,42.9705,0.06405,-3.377,-0.7866,-8029.73,329.76,105.19,0.085,0.002
2103737241426734336,2103737241426734336,6184894,284.0567,41.5767,0.29862,-0.92,-3.2492,-8021.1,301.89,116.5,0.04,-0.028
2103746007460037632,2103746007460037632,5168890,285.4549,40.3852,0.028,-8.1533,-4.0423,-8017.77,299.15,107.48,0.037,-0.008
2103771158789451136,2103771158789451136,5516133,285.5309,40.7323,0.04039,-0.5469,-3.0155,-8029.78,270.03,99.32,0.096,0.011
2102771599641078912,2102771599641078912,7439140,290.0699,43.046,0.02013,6.0323,-1.3317,-8038.58,305.79,95.35,0.092,0.0
2103796615056448384,2103796615056448384,5860441,285.9955,41.1854,0.35054,-0.6835,-3.0222,-8016.72,318.71,112.24,0.03,-0.006
2102358355067054464,2102358355067054464,6111024,287.4763,41.455,0.15893,0.3636,-2.5194,-8015.44,336.58,110.96,0.059,-0.017
2081887063472822144,2081887063472822144,8331561,301.2632,44.2882,0.04442,5.3065,0.9621,-8069.74,289.2,55.37,0.014,-0.026
2082119713259755648,2082119713259755648,8784119,301.2413,44.9991,0.0769,3.4427,-5.828,-8073.45,285.76,56.89,0.088,-0.019
2082142734285082368,2082142734285082368,8653134,300.431,44.751,0.24427,4.6797,-3.2052,-8061.96,335.09,65.35,0.042,0.009
2075875792887385472,2075875792887385472,8197767,301.0396,44.0361,0.19781,6.1371,-4.1109,-8058.79,339.62,61.45,0.383,-0.01
2076198224671929088,2076198224671929088,4175707,295.6988,39.2668,0.07606,-2.372,-5.1553,-8025.8,320.23,66.27,0.059,-0.022
2076200492414475136,2076200492414475136,4174717,295.5148,39.2691,0.03755,4.0735,-4.2295,-8018.29,343.75,70.44,0.067,-0.0
2076206539729021952,2076206539729021952,4383431,295.9545,39.4659,0.02497,-0.8491,-3.2015,-8016.69,356.68,70.88,0.043,-0.015
2076225265786580608,2076225265786580608,4670415,295.7496,39.7078,0.07765,2.1512,-2.7354,-8029.95,314.51,66.41,0.005,-0.016
2076102154842836992,2076102154842836992,8327691,300.1361,44.2833,0.04573,3.9505,-0.5779,-8069.51,278.53,57.58,0.015,-0.011
2075947501661405184,2075947501661405184,7919763,299.9625,43.6938,0.08767,5.7705,-4.4015,-8050.62,359.02,67.01,0.061,-0.022
2076149223381269376,2076149223381269376,8651452,299.9758,44.7052,0.09849,4.1895,-4.1863,-8056.23,359.53,70.28,0.026,0.004
2076155103200250240,2076155103200250240,8651471,299.9827,44.7133,0.08353,3.5408,-4.1194,-8055.72,362.66,70.7,0.071,-0.021
2075994368346179840,2075994368346179840,7987781,299.8278,43.777,0.08696,0.5241,-4.341,-8058.56,319.69,62.68,0.017,-0.02
2076299207945181824,2076299207945181824,5024254,295.2934,40.1148,0.02416,4.2254,-7.6582,-8023.09,342.18,73.57,0.053,-0.012
2076565560327117696,2076565560327117696,5371597,294.3884,40.543,0.06854,-0.7196,-2.8246,-8027.25,328.85,76.46,0.117,-0.009
2076566183109063680,2076566183109063680,5371747,294.4312,40.594,0.09563,-2.099,-7.6342,-8033.67,307.81,72.85,0.113,-0.0
2076916068323795712,2076916068323795712,6307077,297.6337,41.6624,0.02938,2.918,0.8861,-8046.11,306.95,63.21,0.112,-0.013
2076917442713332480,2076917442713332480,6385342,297.5682,41.7423,0.07872,-0.6263,-5.0465,-8043.99,316.62,65.02,0.089,0.005
2077126483054638976,2077126483054638976,6878696,296.002,42.3357,0.07266,4.4272,-2.3856,-8044.68,312.58,71.95,0.058,-0.013
2076790552200353536,2076790552200353536,5980208,297.0738,41.2245,0.08729,-0.7728,-7.8543,-8041.24,312.72,64.97,0.061,-0.013
2076969016682126080,2076969016682126080,6463047,297.3744,41.8626,0.06866,2.8153,-3.176,-8036.14,349.35,70.77,0.036,0.001
