dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2081164611308289024,303.06154,44.0463,2.9012,1.005,0.32,4.8,-3.93,-8063.9,338.2,53.8,3.185,10.8,RSG-5,,,,0
2081568200796644096,303.85461,45.08208,2.9924,1.005,0.489,4.7,-3.34,-8072.4,328.9,53.3,3.187,11.658,RSG-5,,,,0
2082533984319323520,303.71501,46.41277,2.8841,0.992,0.471,5.63,-3.88,-8077.0,341.6,59.5,3.189,10.995,RSG-5,,,,0
2081392828688845952,305.08642,44.73624,2.9953,1.038,0.309,4.62,-2.67,-8073.6,329.2,48.0,3.199,11.285,RSG-5,,,,0
2074635264585973760,302.77083,41.45345,3.0093,1.022,0.171,3.77,-3.17,-8052.8,324.1,45.4,3.213,11.054,RSG-5,,,,0
2082503335437613568,303.64791,46.11956,2.9217,1.108,0.472,4.51,-3.5,-8076.0,337.1,58.2,3.232,12.047,RSG-5,5.147,,5.147,0
2081567204363714688,303.89337,45.05287,2.9554,1.094,0.575,4.86,-3.38,-8071.8,333.0,53.5,3.233,11.161,RSG-5,,,,0
2081567238723967360,303.91792,45.05448,2.9716,1.053,0.475,5.68,-2.8,-8072.1,331.2,53.3,3.241,10.754,RSG-5,,,,0
2081039713660342912,302.14416,43.49819,2.8386,1.003,0.238,4.86,-3.59,-8057.7,344.6,56.1,3.244,10.833,RSG-5,,,,0
2081880084138335744,301.30615,44.22275,3.0269,1.035,0.244,4.12,-3.94,-8063.4,322.9,59.0,3.251,11.995,RSG-5,,,,0
2081996838531230976,302.42909,45.18144,2.8651,1.018,0.363,5.05,-3.42,-8067.5,342.5,60.2,3.257,10.571,RSG-5,,,,0
2081791955715494400,301.99248,43.5918,2.8341,1.037,0.241,3.77,-3.34,-8057.7,345.0,57.0,3.258,11.234,RSG-5,,,,0
2082225674386612480,301.44924,45.39724,3.0103,1.125,0.311,5.2,-2.89,-8069.2,325.3,62.3,3.369,10.651,RSG-5,,,,0
